_UID,system,l1,l2,theta,score
0,celegans,1,2,0.05,0.6556350626118068
1,celegans,1,2,0.05,0.6549865229110512
2,celegans,1,2,0.05,0.6513513513513514
3,celegans,1,2,0.05,0.6557811120917917
4,celegans,1,2,0.05,0.6577540106951871
5,celegans,1,2,0.095,0.6545961002785515
6,celegans,1,2,0.095,0.6573816155988857
7,celegans,1,2,0.095,0.6460258780036968
8,celegans,1,2,0.095,0.6462395543175488
9,celegans,1,2,0.095,0.6538099717779868
10,celegans,1,2,0.14,0.633816425120773
11,celegans,1,2,0.14,0.6235177865612648
12,celegans,1,2,0.14,0.608780487804878
13,celegans,1,2,0.14,0.6403162055335968
14,celegans,1,2,0.14,0.6229665071770335
15,celegans,1,2,0.185,0.6196891191709845
16,celegans,1,2,0.185,0.6542553191489362
17,celegans,1,2,0.185,0.6045081967213115
18,celegans,1,2,0.185,0.6293193717277487
19,celegans,1,2,0.185,0.6123076923076923
20,celegans,1,2,0.22999999999999998,0.5788288288288288
21,celegans,1,2,0.22999999999999998,0.5934065934065934
22,celegans,1,2,0.22999999999999998,0.5678610206297503
23,celegans,1,2,0.22999999999999998,0.6077170418006431
24,celegans,1,2,0.22999999999999998,0.5975609756097561
25,celegans,1,2,0.27499999999999997,0.5758620689655173
26,celegans,1,2,0.27499999999999997,0.578443113772455
27,celegans,1,2,0.27499999999999997,0.5873205741626795
28,celegans,1,2,0.27499999999999997,0.5754716981132075
29,celegans,1,2,0.27499999999999997,0.5509964830011723
30,celegans,1,2,0.32,0.5766331658291457
31,celegans,1,2,0.32,0.559610705596107
32,celegans,1,2,0.32,0.5771643663739021
33,celegans,1,2,0.32,0.5733496332518337
34,celegans,1,2,0.32,0.5691358024691358
35,celegans,1,2,0.365,0.6596306068601583
36,celegans,1,2,0.365,0.649867374005305
37,celegans,1,2,0.365,0.6453333333333333
38,celegans,1,2,0.365,0.5616966580976864
39,celegans,1,2,0.365,0.6549865229110512
40,celegans,1,2,0.41,0.5299727520435967
41,celegans,1,2,0.41,0.5247813411078717
42,celegans,1,2,0.41,0.5458515283842795
43,celegans,1,2,0.41,0.5267857142857143
44,celegans,1,2,0.41,0.5210674157303371
45,celegans,1,2,0.45499999999999996,0.6506211180124224
46,celegans,1,2,0.45499999999999996,0.5255354200988468
47,celegans,1,2,0.45499999999999996,0.648036253776435
48,celegans,1,2,0.45499999999999996,0.5196374622356495
49,celegans,1,2,0.45499999999999996,0.6490683229813664
50,celegans,1,2,0.5,0.5264957264957265
51,celegans,1,2,0.5,0.605
52,celegans,1,2,0.5,0.6123499142367067
53,celegans,1,2,0.5,0.6358792184724689
54,celegans,1,2,0.5,0.5373134328358209
55,celegans,1,3,0.05,0.8149584487534626
56,celegans,1,3,0.05,0.8097098214285714
57,celegans,1,3,0.05,0.8160983789826719
58,celegans,1,3,0.05,0.8135781858653311
59,celegans,1,3,0.05,0.8097886540600667
60,celegans,1,3,0.095,0.8101851851851852
61,celegans,1,3,0.095,0.8088320743753632
62,celegans,1,3,0.095,0.8091872791519434
63,celegans,1,3,0.095,0.81275599765945
64,celegans,1,3,0.095,0.8088064889918888
65,celegans,1,3,0.14,0.8126126126126126
66,celegans,1,3,0.14,0.8129933211900425
67,celegans,1,3,0.14,0.8084197681513118
68,celegans,1,3,0.14,0.8141377209018891
69,celegans,1,3,0.14,0.8067278287461773
70,celegans,1,3,0.185,0.8016688061617459
71,celegans,1,3,0.185,0.8030006523157208
72,celegans,1,3,0.185,0.8042498390212492
73,celegans,1,3,0.185,0.8078913324708926
74,celegans,1,3,0.185,0.8017184401850628
75,celegans,1,3,0.22999999999999998,0.7923611111111111
76,celegans,1,3,0.22999999999999998,0.796906523201076
77,celegans,1,3,0.22999999999999998,0.7924016282225237
78,celegans,1,3,0.22999999999999998,0.7964841108857336
79,celegans,1,3,0.22999999999999998,0.791231732776618
80,celegans,1,3,0.27499999999999997,0.7830188679245284
81,celegans,1,3,0.27499999999999997,0.7846715328467153
82,celegans,1,3,0.27499999999999997,0.7734487734487735
83,celegans,1,3,0.27499999999999997,0.78104335047759
84,celegans,1,3,0.27499999999999997,0.7802197802197802
85,celegans,1,3,0.32,0.764751552795031
86,celegans,1,3,0.32,0.7685113016367888
87,celegans,1,3,0.32,0.7567776917118513
88,celegans,1,3,0.32,0.7562305295950156
89,celegans,1,3,0.32,0.7726586102719033
90,celegans,1,3,0.365,0.7601957585644372
91,celegans,1,3,0.365,0.7508474576271187
92,celegans,1,3,0.365,0.7380165289256199
93,celegans,1,3,0.365,0.7438921651221567
94,celegans,1,3,0.365,0.7454991816693944
95,celegans,1,3,0.41,0.7349290780141844
96,celegans,1,3,0.41,0.7230215827338129
97,celegans,1,3,0.41,0.7307343608340888
98,celegans,1,3,0.41,0.7140221402214022
99,celegans,1,3,0.41,0.736
100,celegans,1,3,0.45499999999999996,0.722057368941642
101,celegans,1,3,0.45499999999999996,0.7476459510357816
102,celegans,1,3,0.45499999999999996,0.7138863000931966
103,celegans,1,3,0.45499999999999996,0.6923828125
104,celegans,1,3,0.45499999999999996,0.7140096618357488
105,celegans,1,3,0.5,0.6960893854748603
106,celegans,1,3,0.5,0.6853220696937699
107,celegans,1,3,0.5,0.7217573221757322
108,celegans,1,3,0.5,0.6855345911949685
109,celegans,1,3,0.5,0.6863966770508827
110,celegans,2,3,0.05,0.8075079872204473
111,celegans,2,3,0.05,0.805863708399366
112,celegans,2,3,0.05,0.8015748031496063
113,celegans,2,3,0.05,0.8132911392405063
114,celegans,2,3,0.05,0.8045705279747833
115,celegans,2,3,0.095,0.8040816326530612
116,celegans,2,3,0.095,0.8023064250411862
117,celegans,2,3,0.095,0.8
118,celegans,2,3,0.095,0.8038237738985868
119,celegans,2,3,0.095,0.8070469798657718
120,celegans,2,3,0.14,0.7911894273127753
121,celegans,2,3,0.14,0.7929824561403509
122,celegans,2,3,0.14,0.8077260755048288
123,celegans,2,3,0.14,0.8151332760103182
124,celegans,2,3,0.14,0.8116710875331565
125,celegans,2,3,0.185,0.8010849909584087
126,celegans,2,3,0.185,0.7943067033976124
127,celegans,2,3,0.185,0.7992530345471522
128,celegans,2,3,0.185,0.797608095676173
129,celegans,2,3,0.185,0.7917059377945335
130,celegans,2,3,0.22999999999999998,0.7931034482758621
131,celegans,2,3,0.22999999999999998,0.7990243902439025
132,celegans,2,3,0.22999999999999998,0.7952522255192879
133,celegans,2,3,0.22999999999999998,0.8073572120038722
134,celegans,2,3,0.22999999999999998,0.8028846153846154
135,celegans,2,3,0.27499999999999997,0.7726809378185525
136,celegans,2,3,0.27499999999999997,0.8108108108108109
137,celegans,2,3,0.27499999999999997,0.7793964620187305
138,celegans,2,3,0.27499999999999997,0.7813471502590673
139,celegans,2,3,0.27499999999999997,0.767762460233298
140,celegans,2,3,0.32,0.7585071350164654
141,celegans,2,3,0.32,0.8067415730337079
142,celegans,2,3,0.32,0.7678185745140389
143,celegans,2,3,0.32,0.8179800221975583
144,celegans,2,3,0.32,0.7682926829268293
145,celegans,2,3,0.365,0.7551724137931034
146,celegans,2,3,0.365,0.7593457943925234
147,celegans,2,3,0.365,0.8147699757869249
148,celegans,2,3,0.365,0.7408716136631331
149,celegans,2,3,0.365,0.7526501766784452
150,celegans,2,3,0.41,0.8088050314465409
151,celegans,2,3,0.41,0.8029197080291971
152,celegans,2,3,0.41,0.7409326424870466
153,celegans,2,3,0.41,0.7119496855345911
154,celegans,2,3,0.41,0.7366412213740458
155,celegans,2,3,0.45499999999999996,0.7523680649526387
156,celegans,2,3,0.45499999999999996,0.7138849929873773
157,celegans,2,3,0.45499999999999996,0.7984189723320159
158,celegans,2,3,0.45499999999999996,0.8044692737430168
159,celegans,2,3,0.45499999999999996,0.8041095890410959
160,celegans,2,3,0.5,0.8202764976958525
161,celegans,2,3,0.5,0.8067349926793558
162,celegans,2,3,0.5,0.804630969609262
163,celegans,2,3,0.5,0.8055964653902798
164,celegans,2,3,0.5,0.7949101796407185
165,london,1,2,0.05,0.7857142857142857
166,london,1,2,0.05,0.7485714285714286
167,london,1,2,0.05,0.8153409090909091
168,london,1,2,0.05,0.773109243697479
169,london,1,2,0.05,0.8114285714285714
170,london,1,2,0.095,0.8076923076923077
171,london,1,2,0.095,0.8176638176638177
172,london,1,2,0.095,0.7982708933717579
173,london,1,2,0.095,0.8112094395280236
174,london,1,2,0.095,0.750733137829912
175,london,1,2,0.14,0.8165137614678899
176,london,1,2,0.14,0.8045602605863192
177,london,1,2,0.14,0.7961783439490446
178,london,1,2,0.14,0.8526645768025078
179,london,1,2,0.185,0.8456375838926175
180,london,1,2,0.185,0.8256578947368421
181,london,1,2,0.185,0.8184818481848185
182,london,1,2,0.185,0.826797385620915
183,london,1,2,0.22999999999999998,0.8107142857142857
184,london,1,2,0.22999999999999998,0.862876254180602
185,london,1,2,0.22999999999999998,0.8191489361702128
186,london,1,2,0.22999999999999998,0.8204225352112676
187,london,1,2,0.22999999999999998,0.8122866894197952
188,london,1,2,0.27499999999999997,0.8257575757575758
189,london,1,2,0.27499999999999997,0.8295454545454546
190,london,1,2,0.27499999999999997,0.8246268656716418
191,london,1,2,0.27499999999999997,0.8514492753623188
192,london,1,2,0.27499999999999997,0.8768115942028986
193,london,1,2,0.32,0.8481012658227848
194,london,1,2,0.32,0.8410852713178295
195,london,1,2,0.32,0.8340080971659919
196,london,1,2,0.32,0.8808510638297873
197,london,1,2,0.32,0.8292682926829268
198,london,1,2,0.365,0.8354430379746836
199,london,1,2,0.365,0.7918367346938775
200,london,1,2,0.365,0.8434782608695652
201,london,1,2,0.41,0.8706896551724138
202,london,1,2,0.41,0.85
203,london,1,2,0.41,0.8347826086956521
204,london,1,2,0.41,0.8557692307692307
205,london,1,2,0.41,0.8475336322869955
206,london,1,2,0.45499999999999996,0.8755760368663594
207,london,1,2,0.45499999999999996,0.8537735849056604
208,london,1,2,0.45499999999999996,0.8426395939086294
209,london,1,2,0.45499999999999996,0.8436018957345972
210,london,1,2,0.45499999999999996,0.8899521531100478
211,london,1,2,0.5,0.9308510638297872
212,london,1,2,0.5,0.9055555555555556
213,london,1,2,0.5,0.8305084745762712
214,london,1,2,0.5,0.813953488372093
215,london,1,2,0.5,0.8457446808510638
216,london,1,3,0.05,0.8790560471976401
217,london,1,3,0.05,0.8407079646017699
218,london,1,3,0.05,0.8579881656804734
219,london,1,3,0.05,0.8595988538681948
220,london,1,3,0.095,0.88125
221,london,1,3,0.095,0.76
222,london,1,3,0.095,0.801829268292683
223,london,1,3,0.095,0.8119402985074626
224,london,1,3,0.14,0.889967637540453
225,london,1,3,0.14,0.869281045751634
226,london,1,3,0.14,0.8682432432432432
227,london,1,3,0.14,0.8662420382165605
228,london,1,3,0.185,0.8729096989966555
229,london,1,3,0.185,0.8956228956228957
230,london,1,3,0.185,0.8547297297297297
231,london,1,3,0.185,0.8576271186440678
232,london,1,3,0.185,0.9081272084805654
233,london,1,3,0.22999999999999998,0.8921933085501859
234,london,1,3,0.22999999999999998,0.9263157894736842
235,london,1,3,0.22999999999999998,0.8794326241134752
236,london,1,3,0.22999999999999998,0.9053030303030303
237,london,1,3,0.22999999999999998,0.8981818181818182
238,london,1,3,0.27499999999999997,0.8901515151515151
239,london,1,3,0.27499999999999997,0.8679245283018868
240,london,1,3,0.27499999999999997,0.916030534351145
241,london,1,3,0.27499999999999997,0.8736059479553904
242,london,1,3,0.27499999999999997,0.8846153846153846
243,london,1,3,0.32,0.869198312236287
244,london,1,3,0.32,0.8559670781893004
245,london,1,3,0.32,0.875
246,london,1,3,0.32,0.922077922077922
247,london,1,3,0.32,0.9058823529411765
248,london,1,3,0.365,0.8933333333333333
249,london,1,3,0.365,0.8716814159292036
250,london,1,3,0.365,0.9144144144144144
251,london,1,3,0.365,0.9032258064516129
252,london,1,3,0.365,0.8841201716738197
253,london,1,3,0.41,0.9134615384615384
254,london,1,3,0.41,0.909952606635071
255,london,1,3,0.41,0.8805970149253731
256,london,1,3,0.41,0.9090909090909091
257,london,1,3,0.41,0.8737864077669902
258,london,1,3,0.45499999999999996,0.8888888888888888
259,london,1,3,0.45499999999999996,0.8860103626943006
260,london,1,3,0.45499999999999996,0.8743718592964824
261,london,1,3,0.45499999999999996,0.8781725888324873
262,london,1,3,0.5,0.9179487179487179
263,london,1,3,0.5,0.8994413407821229
264,london,1,3,0.5,0.8736263736263736
265,london,1,3,0.5,0.8963730569948186
