,N,tau1,tau2,avg_k,min_community,mu,prob,pfi,distance,rep,largest_component,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,_time_embedd,AUROC,Accuracy,_time_all,kmax
0,500,2.1,1.0,5,10,0.3,1.0,0.7,logistic,2,True,128,30,100,24,10,1,4,198.65233270311728,0.5,0.5148514851485149,198.7734998310916,22.360679774997898
1,500,2.5,1.0,12,100,0.75,1.0,0.4,negexp,4,True,128,30,100,24,10,1,4,197.8659182130359,0.8486417235338719,0.75,197.9813494880218,22.360679774997898
2,500,2.9,1.0,5,10,0.1,1.0,0.8,logistic,1,True,128,30,100,24,10,1,4,190.63332311902195,0.5023148148148148,0.47770700636942676,190.64376728399657,22.360679774997898
3,500,2.5,1.0,12,100,0.75,1.0,0.3,logistic,1,True,128,30,100,24,10,1,4,191.4811242101714,0.5070608041196276,0.5202411714039621,191.55417989310808,22.360679774997898
4,500,2.9,1.0,5,10,0.1,1.0,0.7,negexp,4,True,128,30,100,24,10,1,4,160.04867593804374,0.8490693543404386,0.7663934426229508,160.09684924711473,22.360679774997898
5,500,2.5,1.0,12,100,0.75,1.0,0.3,inverse,4,True,128,30,100,24,10,1,4,209.28859722497873,0.8157734132268086,0.5321585903083701,209.4077163359616,22.360679774997898
6,500,2.9,1.0,5,10,0.1,1.0,0.9,logistic,4,True,128,30,100,24,10,1,4,202.0882762100082,0.5,0.4556213017751479,202.0973247741349,22.360679774997898
7,500,2.1,1.0,5,10,0.3,1.0,0.5,inverse,3,True,128,30,100,24,10,1,4,181.44533128105104,0.8586550353063205,0.5860805860805861,181.46954806987196,22.360679774997898
8,500,2.5,1.0,12,100,0.75,1.0,0.2,negexp,5,True,128,30,100,24,10,1,4,167.5239470351953,0.7720393596769252,0.6720061022120518,167.63815606106073,22.360679774997898
9,500,2.5,1.0,12,100,0.75,1.0,0.4,logistic,5,True,128,30,100,24,10,1,4,195.9114768540021,0.5039246467817896,0.511578947368421,195.97367453482002,22.360679774997898
10,500,2.9,1.0,5,10,0.1,1.0,0.9,inverse,5,True,128,30,100,24,10,1,4,198.40605461294763,0.8263322884012538,0.5892857142857143,198.41558100888506,22.360679774997898
11,500,2.5,1.0,12,100,0.75,1.0,0.2,inverse,4,True,128,30,100,24,10,1,4,209.7985101940576,0.7802600625181271,0.5077399380804953,210.23585963714868,22.360679774997898
12,500,2.1,1.0,5,10,0.3,1.0,0.7,inverse,2,True,128,30,100,24,10,1,4,146.44038214883767,0.8608922890471141,0.5644171779141104,146.5266208369285,22.360679774997898
13,500,2.9,1.0,5,10,0.1,1.0,0.9,inverse,3,True,128,30,100,24,10,1,4,201.7019480240997,0.8262417994376756,0.5592105263157895,201.71038335515186,22.360679774997898
14,500,2.9,1.0,5,10,0.1,1.0,0.9,negexp,2,True,128,30,100,24,10,1,4,151.7550825360231,0.8388072601555748,0.7021276595744681,151.76421383908018,22.360679774997898
15,500,2.9,1.0,5,100,0.1,1.0,0.2,inverse,4,True,128,30,100,24,10,1,4,104.83424733602442,0.7581575207004516,0.5330296127562643,104.86947529483587,22.360679774997898
16,500,2.1,1.0,5,10,0.3,1.0,0.5,inverse,4,True,128,30,100,24,10,1,4,147.37836162513122,0.8428983271339012,0.5292682926829269,147.5369315110147,22.360679774997898
17,500,2.9,1.0,5,10,0.1,1.0,0.9,negexp,5,True,128,30,100,24,10,1,4,189.6922853749711,0.84400826446281,0.7532467532467533,189.70550643396564,22.360679774997898
18,500,2.9,1.0,5,10,0.1,1.0,0.7,negexp,5,True,128,30,100,24,10,1,4,197.2324323260691,0.8800997487943965,0.7788844621513944,197.26369026000611,22.360679774997898
19,500,2.5,1.0,12,100,0.75,1.0,0.3,negexp,5,True,128,30,100,24,10,1,4,194.51524801319465,0.8126982223288293,0.7175043327556326,194.7809038120322,22.360679774997898
20,500,2.5,1.0,12,100,0.75,1.0,0.4,inverse,4,True,128,30,100,24,10,1,4,200.77380975312553,0.8269247886070317,0.5412147505422994,200.9118059889879,22.360679774997898
21,500,2.5,1.0,12,100,0.75,1.0,0.2,negexp,3,True,128,30,100,24,10,1,4,199.76160835893825,0.7729033893395134,0.6704805491990846,200.194111648947,22.360679774997898
22,500,2.1,1.0,5,10,0.3,1.0,0.6,negexp,3,True,128,30,100,24,10,1,4,196.1879877068568,0.8558700934394816,0.7695716395864106,196.2114339780528,22.360679774997898
23,500,2.5,1.0,12,100,0.75,1.0,0.5,logistic,3,True,128,30,100,24,10,1,4,205.5089676231146,0.5129447869348908,0.4902439024390244,205.72377831605263,22.360679774997898
24,500,2.5,1.0,12,100,0.75,1.0,0.6,inverse,3,True,128,30,100,24,10,1,4,164.09681543707848,0.8599804209495839,0.5331369661266568,164.11553792911582,22.360679774997898
25,500,2.5,1.0,12,100,0.75,1.0,0.2,negexp,1,True,128,30,100,24,10,1,4,210.0275807888247,0.7624686591114231,0.6826119969627942,210.56588645488955,22.360679774997898
26,500,2.9,1.0,5,10,0.1,1.0,0.95,negexp,4,True,128,30,100,24,10,1,4,173.37524560885504,0.7824933687002652,0.654320987654321,173.38117927289568,22.360679774997898
27,500,2.1,1.0,5,10,0.3,1.0,0.5,logistic,1,True,128,30,100,24,10,1,4,194.72916782507673,0.5007059517160057,0.5376623376623376,194.81679531210102,22.360679774997898
28,500,2.9,1.0,5,10,0.1,1.0,0.7,logistic,1,True,128,30,100,24,10,1,4,208.12500157300383,0.5015625,0.4824561403508772,208.139389752876,22.360679774997898
29,500,2.1,1.0,5,10,0.3,1.0,0.5,inverse,2,True,128,30,100,24,10,1,4,198.13923742901534,0.887896636899107,0.5369649805447471,198.2862214280758,22.360679774997898
30,500,2.5,1.0,12,100,0.75,1.0,0.3,negexp,2,True,128,30,100,24,10,1,4,206.63804224599153,0.7955366128988385,0.7050610820244329,206.75154725206085,22.360679774997898
31,500,2.5,1.0,12,100,0.75,1.0,0.4,negexp,1,True,128,30,100,24,10,1,4,193.87369874608703,0.8308902610888592,0.7331288343558282,193.96382776810788,22.360679774997898
32,500,2.1,1.0,5,10,0.3,1.0,0.7,logistic,4,True,128,30,100,24,10,1,4,204.80240034405142,0.5032467532467533,0.48846960167714887,204.84049966395833,22.360679774997898
33,500,2.1,1.0,5,10,0.3,1.0,0.7,negexp,5,True,128,30,100,24,10,1,4,189.5294354360085,0.8634967712080099,0.7641921397379913,189.54660340002738,22.360679774997898
34,500,2.5,1.0,12,100,0.75,1.0,0.3,negexp,1,True,128,30,100,24,10,1,4,196.09051677398384,0.7993530764807361,0.6980286738351255,196.2855474560056,22.360679774997898
35,500,2.9,1.0,5,10,0.3,1.0,0.0,inverse,3,True,128,30,100,24,10,1,4,168.76189333479851,0.4796141365532769,0.517438173747622,168.91788608883508,22.360679774997898
36,500,2.1,1.0,5,10,0.3,1.0,0.8,inverse,2,True,128,30,100,24,10,1,4,164.99617763701826,0.8289063931122916,0.5544871794871795,165.01907291798852,22.360679774997898
37,500,2.5,1.0,12,100,0.75,1.0,0.2,logistic,2,True,128,30,100,24,10,1,4,208.71089843683876,0.5042583046541513,0.48562300319488816,209.0001388718374,22.360679774997898
38,500,2.5,1.0,12,100,0.75,1.0,0.2,logistic,5,True,128,30,100,24,10,1,4,205.29990392597392,0.5041518269450744,0.48256735340729,205.63100736495107,22.360679774997898
39,500,2.1,1.0,5,10,0.3,1.0,0.4,inverse,5,True,128,30,100,24,10,1,4,209.0891008239705,0.8250346680533889,0.5317545748116254,209.3469933879096,22.360679774997898
40,500,2.1,1.0,5,10,0.3,1.0,0.4,logistic,4,True,128,30,100,24,10,1,4,205.78779175691307,0.5007860282874618,0.5046535677352637,205.8229618370533,22.360679774997898
41,500,2.5,1.0,12,100,0.75,1.0,0.4,logistic,3,True,128,30,100,24,10,1,4,151.52327954000793,0.5045367899351887,0.5031446540880503,151.64680476905778,22.360679774997898
42,500,2.1,1.0,5,10,0.3,1.0,0.5,negexp,4,True,128,30,100,24,10,1,4,200.42632378311828,0.8236894680343512,0.7230769230769231,200.611894184025,22.360679774997898
43,500,2.9,1.0,5,10,0.1,1.0,0.8,logistic,3,True,128,30,100,24,10,1,4,185.35737314308062,0.5,0.5136986301369864,185.38304652809165,22.360679774997898
44,500,2.9,1.0,5,10,0.3,1.0,0.0,inverse,2,True,128,30,100,24,10,1,4,213.1650665719062,0.5012735567173585,0.5094454600853139,213.62168496800587,22.360679774997898
45,500,2.9,1.0,5,10,0.1,1.0,0.95,inverse,5,True,128,30,100,24,10,1,4,196.02496044011787,0.722943722943723,0.6352941176470588,196.03008912596852,22.360679774997898
46,500,2.5,1.0,12,100,0.75,1.0,0.5,inverse,2,True,128,30,100,24,10,1,4,203.21993061015382,0.8529657477025897,0.5408970976253298,203.3210599210579,22.360679774997898
47,500,2.5,1.0,12,100,0.75,1.0,0.3,inverse,3,True,128,30,100,24,10,1,4,197.56668433197774,0.8052505855424252,0.5156794425087108,198.03063956811093,22.360679774997898
48,500,2.1,1.0,5,10,0.3,1.0,0.5,logistic,2,True,128,30,100,24,10,1,4,155.48399232397787,0.5101295942213725,0.4839572192513369,155.61162758478895,22.360679774997898
49,500,2.9,1.0,5,10,0.1,1.0,0.7,negexp,2,True,128,30,100,24,10,1,4,204.54839208279736,0.8530286987001606,0.751004016064257,204.6020417478867,22.360679774997898
50,500,2.5,1.0,12,100,0.75,1.0,0.4,negexp,5,True,128,30,100,24,10,1,4,194.01931322016753,0.8296805256030895,0.7449947312961012,194.1355980501976,22.360679774997898
51,500,2.1,1.0,5,10,0.3,1.0,0.7,negexp,1,True,128,30,100,24,10,1,4,201.2304077539593,0.8523619186046512,0.7698412698412699,201.2849938790314,22.360679774997898
52,500,2.5,1.0,12,100,0.75,1.0,0.2,logistic,1,True,128,30,100,24,10,1,4,211.54507922683842,0.5028260916418812,0.5140625,211.57196109299548,22.360679774997898
53,500,2.1,1.0,5,10,0.3,1.0,0.8,negexp,1,True,128,30,100,24,10,1,4,89.14495968911797,0.836798245614035,0.7469512195121951,89.15757105895318,22.360679774997898
54,500,2.9,1.0,5,10,0.1,1.0,0.8,logistic,5,True,128,30,100,24,10,1,4,185.5371191308368,0.5039525691699605,0.5238095238095238,185.56992133078165,22.360679774997898
55,500,2.1,1.0,5,10,0.3,1.0,0.6,inverse,1,True,128,30,100,24,10,1,4,191.5738046290353,0.8245028035745577,0.5625965996908809,191.65281909005716,22.360679774997898
56,500,2.9,1.0,5,10,0.1,1.0,0.8,negexp,4,True,128,30,100,24,10,1,4,189.10622801515274,0.8609932088285229,0.7556818181818182,189.13309786701575,22.360679774997898
57,500,2.5,1.0,12,100,0.75,1.0,0.5,inverse,4,True,128,30,100,24,10,1,4,194.6225936880801,0.852433591816532,0.5387409200968523,194.6449991131667,22.360679774997898
58,500,2.9,1.0,5,10,0.1,1.0,0.95,inverse,1,True,128,30,100,24,10,1,4,191.92329318192787,0.7067395264116576,0.5822784810126582,191.92838457599282,22.360679774997898
59,500,2.1,1.0,5,10,0.3,1.0,0.6,negexp,1,True,128,30,100,24,10,1,4,180.28896902501583,0.8304820415879017,0.7329192546583851,180.31076382892206,22.360679774997898
60,500,2.1,1.0,5,10,0.3,1.0,0.5,negexp,2,True,128,30,100,24,10,1,4,153.66989126708359,0.8399149614669147,0.757985257985258,153.88536314293742,22.360679774997898
61,500,2.1,1.0,5,10,0.3,1.0,0.6,negexp,4,True,128,30,100,24,10,1,4,184.7284963610582,0.8488865503428611,0.7448818897637796,184.75059018703178,22.360679774997898
62,500,2.5,1.0,12,100,0.75,1.0,0.5,logistic,2,True,128,30,100,24,10,1,4,157.75975122209638,0.4973958333333333,0.522093023255814,157.96394159412012,22.360679774997898
63,500,2.1,1.0,5,10,0.3,1.0,0.6,negexp,2,True,128,30,100,24,10,1,4,194.12160602910444,0.8482360354768019,0.7751479289940828,194.35605023009703,22.360679774997898
64,500,2.1,1.0,5,10,0.3,1.0,0.4,negexp,3,True,128,30,100,24,10,1,4,205.37721615703776,0.8368430300351947,0.7462526766595289,205.5839837740641,22.360679774997898
65,500,2.5,1.0,12,100,0.75,1.0,0.4,inverse,1,True,128,30,100,24,10,1,4,149.72830678895116,0.831057202755316,0.5289169295478444,149.8563114439603,22.360679774997898
66,500,2.5,1.0,12,100,0.75,1.0,0.5,negexp,1,True,128,30,100,24,10,1,4,186.21361028286628,0.8249795417348609,0.7369077306733167,186.40140251396224,22.360679774997898
67,500,2.5,1.0,12,100,0.75,1.0,0.5,inverse,3,True,128,30,100,24,10,1,4,158.21019660821185,0.8749425947187142,0.5558375634517766,158.38446130603552,22.360679774997898
68,500,2.1,1.0,5,10,0.3,1.0,0.5,negexp,3,True,128,30,100,24,10,1,4,205.3530508580152,0.8388208119641389,0.7369062119366626,205.38544372702017,22.360679774997898
69,500,2.1,1.0,5,10,0.3,1.0,0.6,logistic,5,True,128,30,100,24,10,1,4,201.2596760180313,0.504756126875837,0.493730407523511,201.282063402934,22.360679774997898
70,500,2.9,1.0,5,10,0.1,1.0,0.8,inverse,1,True,128,30,100,24,10,1,4,197.35571949416772,0.8523755656108597,0.5412844036697247,197.37129848310724,22.360679774997898
71,500,2.9,1.0,5,10,0.1,1.0,0.9,logistic,5,True,128,30,100,24,10,1,4,184.05076002096757,0.5,0.5,184.05861501698382,22.360679774997898
72,500,2.9,1.0,5,10,0.1,1.0,0.9,logistic,3,True,128,30,100,24,10,1,4,191.6237753990572,0.5,0.4578313253012048,191.6305744079873,22.360679774997898
73,500,2.5,1.0,12,100,0.75,1.0,0.5,logistic,4,True,128,30,100,24,10,1,4,199.8094954979606,0.5029579857893112,0.494148244473342,199.94918631808832,22.360679774997898
74,500,2.5,1.0,12,100,0.75,1.0,0.3,inverse,1,True,128,30,100,24,10,1,4,198.13368524285033,0.8309621195563558,0.5256637168141592,198.16555043682456,22.360679774997898
75,500,2.1,1.0,5,10,0.3,1.0,0.6,inverse,4,True,128,30,100,24,10,1,4,198.97683145594783,0.8569851692516699,0.5544117647058824,198.99737034295686,22.360679774997898
76,500,2.1,1.0,5,10,0.3,1.0,0.4,negexp,2,True,128,30,100,24,10,1,4,203.57755219377577,0.8327749785591767,0.7196356275303644,203.60987657587975,22.360679774997898
77,500,2.1,1.0,5,10,0.3,1.0,0.6,logistic,2,True,128,30,100,24,10,1,4,166.69106476195157,0.501207729468599,0.5138036809815951,166.77005123300478,22.360679774997898
78,500,2.9,1.0,5,10,0.1,1.0,0.8,negexp,2,True,128,30,100,24,10,1,4,199.15100792096928,0.851356727938251,0.770392749244713,199.16418839502148,22.360679774997898
79,500,2.9,1.0,5,10,0.1,1.0,0.8,negexp,3,True,128,30,100,24,10,1,4,180.15934871695936,0.8458333333333333,0.7652439024390244,180.18156010191888,22.360679774997898
80,500,2.1,1.0,5,10,0.3,1.0,0.5,logistic,4,True,128,30,100,24,10,1,4,202.9618514261674,0.5027864891621149,0.5061881188118812,203.03954963199794,22.360679774997898
81,500,2.9,1.0,5,10,0.1,1.0,0.95,negexp,5,True,128,30,100,24,10,1,4,192.0011939681135,0.6747159090909091,0.6395348837209303,192.00646487809718,22.360679774997898
82,500,2.9,1.0,5,10,0.1,1.0,0.8,logistic,2,True,128,30,100,24,10,1,4,204.16664347588085,0.5024038461538461,0.5171232876712328,204.1943247858435,22.360679774997898
83,500,2.9,1.0,5,10,0.1,1.0,0.9,negexp,3,True,128,30,100,24,10,1,4,179.2901302848477,0.7717351091379948,0.7032258064516129,179.2998030728195,22.360679774997898
84,500,2.9,1.0,5,10,0.1,1.0,0.7,logistic,2,True,128,30,100,24,10,1,4,191.62019092100672,0.5,0.48502994011976047,191.63526881486177,22.360679774997898
85,500,2.9,1.0,5,10,0.1,1.0,0.95,inverse,4,True,128,30,100,24,10,1,4,168.7718196019996,0.7792553191489362,0.5915492957746479,168.77752322889864,22.360679774997898
86,500,2.9,1.0,5,10,0.1,1.0,0.9,logistic,1,True,128,30,100,24,10,1,4,197.7399275309872,0.5,0.4222222222222222,197.7476355661638,22.360679774997898
87,500,2.5,1.0,12,100,0.75,1.0,0.4,logistic,4,True,128,30,100,24,10,1,4,193.0694622809533,0.5075252525252524,0.5131313131313131,193.09656102396548,22.360679774997898
88,500,2.1,1.0,5,10,0.3,1.0,0.4,logistic,1,True,128,30,100,24,10,1,4,196.23973080399446,0.5118091840836013,0.5099894847528917,196.26601494196802,22.360679774997898
89,500,2.9,1.0,5,10,0.1,1.0,0.95,logistic,5,True,128,30,100,24,10,1,4,192.25506186112761,0.5,0.6229508196721312,192.28780439612456,22.360679774997898
90,500,2.9,1.0,5,10,0.1,1.0,0.95,logistic,2,True,128,30,100,24,10,1,4,199.49521154211834,0.5,0.5,199.50008615315892,22.360679774997898
91,500,2.1,1.0,5,10,0.3,1.0,0.8,inverse,1,True,128,30,100,24,10,1,4,161.52684157900512,0.8308487720809995,0.5669781931464174,161.5421374910511,22.360679774997898
92,500,2.1,1.0,5,10,0.3,1.0,0.6,logistic,3,True,128,30,100,24,10,1,4,194.5838984430302,0.5048640558742828,0.521311475409836,194.60304130101576,22.360679774997898
