system,layers,theta,auroc
arxiv,2-6,0.00,0.50
arxiv,2-6,0.05,0.57
arxiv,2-6,0.10,0.64
arxiv,2-6,0.15,0.63
arxiv,2-6,0.20,0.68
arxiv,2-6,0.25,0.69
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.73
arxiv,2-6,0.40,0.75
arxiv,#ERR,0.45,0.75
arxiv,2-6,0.50,0.77
arxiv,2-6,0.55,0.78
arxiv,2-6,0.60,0.79
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.80
arxiv,2-6,0.75,0.83
arxiv,2-6,0.80,0.83
arxiv,2-6,0.85,0.83
arxiv,2-6,0.90,0.84
arxiv,2-6,0.95,0.84
arxiv,2-6,0.00,0.50
arxiv,2-6,0.05,0.59
arxiv,2-6,0.10,0.63
arxiv,2-6,0.15,0.65
arxiv,2-6,0.20,0.67
arxiv,2-6,0.25,0.70
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.74
arxiv,2-6,0.40,0.75
arxiv,2-6,0.45,0.77
arxiv,2-6,0.50,0.78
arxiv,2-6,0.55,0.77
arxiv,2-6,0.60,0.80
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.82
arxiv,2-6,0.80,0.82
arxiv,2-6,0.85,0.82
arxiv,2-6,0.90,0.86
arxiv,2-6,0.95,0.84
arxiv,2-6,0.00,0.51
arxiv,2-6,0.05,0.60
arxiv,2-6,0.10,0.61
arxiv,2-6,0.15,0.66
arxiv,2-6,0.20,0.67
arxiv,2-6,0.25,0.69
arxiv,2-6,0.30,0.71
arxiv,2-6,0.35,0.72
arxiv,2-6,0.40,0.76
arxiv,2-6,0.45,0.76
arxiv,2-6,0.50,0.78
arxiv,2-6,0.55,0.78
arxiv,2-6,0.60,0.80
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.82
arxiv,2-6,0.80,0.82
arxiv,2-6,0.85,0.84
arxiv,2-6,0.90,0.84
arxiv,2-6,0.95,0.83
arxiv,2-6,0.00,0.49
arxiv,2-6,0.05,0.60
arxiv,2-6,0.10,0.64
arxiv,2-6,0.15,0.64
arxiv,2-6,0.20,0.70
arxiv,2-6,0.25,0.70
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.74
arxiv,2-6,0.40,0.74
arxiv,2-6,0.45,0.76
arxiv,2-6,0.50,0.77
arxiv,2-6,0.55,0.78
arxiv,2-6,0.60,0.81
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.83
arxiv,2-6,0.80,0.81
arxiv,2-6,0.85,0.84
arxiv,2-6,0.90,0.84
arxiv,2-6,0.95,0.82
arxiv,2-6,0.00,0.50
arxiv,2-6,0.05,0.59
arxiv,2-6,0.10,0.61
arxiv,2-6,0.15,0.64
arxiv,2-6,0.20,0.69
arxiv,2-6,0.25,0.71
arxiv,2-6,0.30,0.72
arxiv,2-6,0.35,0.74
arxiv,2-6,0.40,0.75
arxiv,2-6,0.45,0.77
arxiv,2-6,0.50,0.76
arxiv,2-6,0.55,0.79
arxiv,2-6,0.60,0.80
arxiv,2-6,0.65,0.80
arxiv,2-6,0.70,0.81
arxiv,2-6,0.75,0.82
arxiv,2-6,0.80,0.83
arxiv,2-6,0.85,0.84
arxiv,2-6,0.90,0.83
arxiv,2-6,0.95,0.85
drosophila,1-3,0.00,0.47
drosophila,1-3,0.05,0.60
drosophila,1-3,0.10,0.69
drosophila,1-3,0.15,0.77
drosophila,1-3,0.20,0.77
drosophila,1-3,0.25,0.80
drosophila,1-3,0.30,0.80
drosophila,1-3,0.35,0.84
drosophila,1-3,0.40,0.83
drosophila,1-3,0.45,0.84
drosophila,1-3,0.50,0.86
drosophila,1-3,0.55,0.87
drosophila,1-3,0.60,0.85
drosophila,1-3,0.65,0.87
drosophila,1-3,0.70,0.88
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.91
drosophila,1-3,0.85,0.90
drosophila,1-3,0.90,0.90
drosophila,1-3,0.95,0.89
drosophila,1-3,0.00,0.44
drosophila,1-3,0.05,0.63
drosophila,1-3,0.10,0.70
drosophila,1-3,0.15,0.76
drosophila,1-3,0.20,0.78
drosophila,1-3,0.25,0.79
drosophila,1-3,0.30,0.82
drosophila,1-3,0.35,0.83
drosophila,1-3,0.40,0.83
drosophila,1-3,0.45,0.84
drosophila,1-3,0.50,0.84
drosophila,1-3,0.55,0.87
drosophila,1-3,0.60,0.87
drosophila,1-3,0.65,0.88
drosophila,1-3,0.70,0.88
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.89
drosophila,1-3,0.85,0.88
drosophila,1-3,0.90,0.89
drosophila,1-3,0.95,0.88
drosophila,1-3,0.00,0.49
drosophila,1-3,0.05,0.63
drosophila,1-3,0.10,0.72
drosophila,1-3,0.15,0.71
drosophila,1-3,0.20,0.79
drosophila,1-3,0.25,0.80
drosophila,1-3,0.30,0.82
drosophila,1-3,0.35,0.82
drosophila,1-3,0.40,0.85
drosophila,1-3,0.45,0.82
drosophila,1-3,0.50,0.87
drosophila,1-3,0.55,0.85
drosophila,1-3,0.60,0.85
drosophila,1-3,0.65,0.87
drosophila,1-3,0.70,0.89
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.87
drosophila,1-3,0.85,0.89
drosophila,1-3,0.90,0.91
drosophila,1-3,0.95,0.89
drosophila,1-3,0.00,0.50
drosophila,1-3,0.05,0.63
drosophila,1-3,0.10,0.70
drosophila,1-3,0.15,0.76
drosophila,1-3,0.20,0.78
drosophila,1-3,0.25,0.80
drosophila,1-3,0.30,0.83
drosophila,1-3,0.35,0.81
drosophila,1-3,0.40,0.84
drosophila,1-3,0.45,0.84
drosophila,1-3,0.50,0.86
drosophila,1-3,0.55,0.85
drosophila,1-3,0.60,0.87
drosophila,1-3,0.65,0.87
drosophila,1-3,0.70,0.87
drosophila,1-3,0.75,0.89
drosophila,1-3,0.80,0.91
drosophila,1-3,0.85,0.87
drosophila,1-3,0.90,0.90
drosophila,1-3,0.95,0.93
drosophila,1-3,0.00,0.47
drosophila,1-3,0.05,0.61
drosophila,1-3,0.10,0.68
drosophila,1-3,0.15,0.75
drosophila,1-3,0.20,0.76
drosophila,1-3,0.25,0.76
drosophila,1-3,0.30,0.82
drosophila,1-3,0.35,0.82
drosophila,1-3,0.40,0.84
drosophila,1-3,0.45,0.85
drosophila,1-3,0.50,0.86
drosophila,1-3,0.55,0.88
drosophila,1-3,0.60,0.85
drosophila,1-3,0.65,0.88
drosophila,1-3,0.70,0.89
drosophila,1-3,0.75,0.88
drosophila,1-3,0.80,0.90
drosophila,1-3,0.85,0.87
drosophila,1-3,0.90,0.91
drosophila,1-3,0.95,0.88
london,1-3,0.00,0.49
london,1-3,0.05,0.51
london,1-3,0.10,0.54
london,1-3,0.15,0.53
london,1-3,0.20,0.54
london,1-3,0.25,0.63
london,1-3,0.30,0.62
london,1-3,0.35,0.54
london,1-3,0.40,0.65
london,1-3,0.45,0.63
london,1-3,0.50,0.50
london,1-3,0.55,0.59
london,1-3,0.60,0.51
london,1-3,0.65,0.73
london,1-3,0.70,0.53
london,1-3,0.75,0.77
london,1-3,0.80,0.71
london,1-3,0.85,0.73
london,1-3,0.90,0.49
london,1-3,0.95,0.77
london,1-3,0.00,0.54
london,1-3,0.05,0.64
london,1-3,0.10,0.57
london,1-3,0.15,0.60
london,1-3,0.20,0.46
london,1-3,0.25,0.63
london,1-3,0.30,0.64
london,1-3,0.35,0.58
london,1-3,0.40,0.54
london,1-3,0.45,0.64
london,1-3,0.50,0.55
london,1-3,0.55,0.53
london,1-3,0.60,0.52
london,1-3,0.65,0.64
london,1-3,0.70,0.65
london,1-3,0.75,0.64
london,1-3,0.80,0.53
london,1-3,0.85,0.46
london,1-3,0.90,0.67
london,1-3,0.95,0.85
london,1-3,0.00,0.51
london,1-3,0.05,0.55
london,1-3,0.10,0.57
london,1-3,0.15,0.42
london,1-3,0.20,0.64
london,1-3,0.25,0.51
london,1-3,0.30,0.63
london,1-3,0.35,0.70
london,1-3,0.40,0.52
london,1-3,0.45,0.65
london,1-3,0.50,0.57
london,1-3,0.55,0.47
london,1-3,0.60,0.52
london,1-3,0.65,0.56
london,1-3,0.70,0.60
london,1-3,0.75,0.84
london,1-3,0.80,0.70
london,1-3,0.85,0.62
london,1-3,0.90,0.72
london,1-3,0.95,0.54
london,1-3,0.00,0.50
london,1-3,0.05,0.54
london,1-3,0.10,0.53
london,1-3,0.15,0.66
london,1-3,0.20,0.48
london,1-3,0.25,0.50
london,1-3,0.30,0.56
london,1-3,0.35,0.53
london,1-3,0.40,0.60
london,1-3,0.45,0.53
london,1-3,0.50,0.55
london,1-3,0.55,0.63
london,1-3,0.60,0.75
london,1-3,0.65,0.48
london,1-3,0.70,0.54
london,1-3,0.75,0.47
london,1-3,0.80,0.55
london,1-3,0.85,0.57
london,1-3,0.90,0.55
london,1-3,0.95,0.50
london,1-3,0.00,0.50
london,1-3,0.05,0.59
london,1-3,0.10,0.46
london,1-3,0.15,0.52
london,1-3,0.20,0.62
london,1-3,0.25,0.64
london,1-3,0.30,0.59
london,1-3,0.35,0.57
london,1-3,0.40,0.61
london,1-3,0.45,0.62
london,1-3,0.50,0.56
london,1-3,0.55,0.56
london,1-3,0.60,0.56
london,1-3,0.65,0.57
london,1-3,0.70,0.70
london,1-3,0.75,0.67
london,1-3,0.80,0.66
london,1-3,0.85,0.54
london,1-3,0.90,0.62
london,1-3,0.95,0.30
celegans,1-3,0.00,0.49
celegans,1-3,0.05,0.59
celegans,1-3,0.10,0.56
celegans,1-3,0.15,0.61
celegans,1-3,0.20,0.66
celegans,1-3,0.25,0.67
celegans,1-3,0.30,0.63
celegans,1-3,0.35,0.65
celegans,1-3,0.40,0.68
celegans,1-3,0.45,0.70
celegans,1-3,0.50,0.71
celegans,1-3,0.55,0.67
celegans,1-3,0.60,0.70
celegans,1-3,0.65,0.72
celegans,1-3,0.70,0.69
celegans,1-3,0.75,0.69
celegans,1-3,0.80,0.73
celegans,1-3,0.85,0.76
celegans,1-3,0.90,0.74
celegans,1-3,0.95,0.77
celegans,1-3,0.00,0.47
celegans,1-3,0.05,0.59
celegans,1-3,0.10,0.57
celegans,1-3,0.15,0.57
celegans,1-3,0.20,0.65
celegans,1-3,0.25,0.62
celegans,1-3,0.30,0.65
celegans,1-3,0.35,0.65
celegans,1-3,0.40,0.66
celegans,1-3,0.45,0.67
celegans,1-3,0.50,0.70
celegans,1-3,0.55,0.62
celegans,1-3,0.60,0.67
celegans,1-3,0.65,0.72
celegans,1-3,0.70,0.73
celegans,1-3,0.75,0.73
celegans,1-3,0.80,0.72
celegans,1-3,0.85,0.76
celegans,1-3,0.90,0.80
celegans,1-3,0.95,0.87
celegans,1-3,0.00,0.52
celegans,1-3,0.05,0.54
celegans,1-3,0.10,0.60
celegans,1-3,0.15,0.61
celegans,1-3,0.20,0.62
celegans,1-3,0.25,0.59
celegans,1-3,0.30,0.65
celegans,1-3,0.35,0.69
celegans,1-3,0.40,0.66
celegans,1-3,0.45,0.72
celegans,1-3,0.50,0.69
celegans,1-3,0.55,0.71
celegans,1-3,0.60,0.72
celegans,1-3,0.65,0.74
celegans,1-3,0.70,0.70
celegans,1-3,0.75,0.76
celegans,1-3,0.80,0.69
celegans,1-3,0.85,0.69
celegans,1-3,0.90,0.83
celegans,1-3,0.95,0.76
celegans,1-3,0.00,0.52
celegans,1-3,0.05,0.54
celegans,1-3,0.10,0.56
celegans,1-3,0.15,0.59
celegans,1-3,0.20,0.58
celegans,1-3,0.25,0.62
celegans,1-3,0.30,0.69
celegans,1-3,0.35,0.66
celegans,1-3,0.40,0.64
celegans,1-3,0.45,0.70
celegans,1-3,0.50,0.70
celegans,1-3,0.55,0.71
celegans,1-3,0.60,0.70
celegans,1-3,0.65,0.68
celegans,1-3,0.70,0.73
celegans,1-3,0.75,0.72
celegans,1-3,0.80,0.74
celegans,1-3,0.85,0.75
celegans,1-3,0.90,0.79
celegans,1-3,0.95,0.86
celegans,1-3,0.00,0.52
celegans,1-3,0.05,0.54
celegans,1-3,0.10,0.53
celegans,1-3,0.15,0.57
celegans,1-3,0.20,0.62
celegans,1-3,0.25,0.61
celegans,1-3,0.30,0.67
celegans,1-3,0.35,0.70
celegans,1-3,0.40,0.67
celegans,1-3,0.45,0.63
celegans,1-3,0.50,0.67
celegans,1-3,0.55,0.70
celegans,1-3,0.60,0.71
celegans,1-3,0.65,0.71
celegans,1-3,0.70,0.66
celegans,1-3,0.75,0.74
celegans,1-3,0.80,0.78
celegans,1-3,0.85,0.73
celegans,1-3,0.90,0.73
celegans,1-3,0.95,0.84
celegans,2-3,0.00,0.52
celegans,2-3,0.05,0.53
celegans,2-3,0.10,0.55
celegans,2-3,0.15,0.53
celegans,2-3,0.20,0.57
celegans,2-3,0.25,0.57
celegans,2-3,0.30,0.58
celegans,2-3,0.35,0.59
celegans,2-3,0.40,0.61
celegans,2-3,0.45,0.56
celegans,2-3,0.50,0.60
celegans,2-3,0.55,0.60
celegans,2-3,0.60,0.57
celegans,2-3,0.65,0.64
celegans,2-3,0.70,0.61
celegans,2-3,0.75,0.64
celegans,2-3,0.80,0.68
celegans,2-3,0.85,0.74
celegans,2-3,0.90,0.66
celegans,2-3,0.95,0.57
celegans,2-3,0.00,0.51
celegans,2-3,0.05,0.50
celegans,2-3,0.10,0.58
celegans,2-3,0.15,0.51
celegans,2-3,0.20,0.61
celegans,2-3,0.25,0.56
celegans,2-3,0.30,0.59
celegans,2-3,0.35,0.59
celegans,2-3,0.40,0.61
celegans,2-3,0.45,0.56
celegans,2-3,0.50,0.59
celegans,2-3,0.55,0.61
celegans,2-3,0.60,0.61
celegans,2-3,0.65,0.59
celegans,2-3,0.70,0.67
celegans,2-3,0.75,0.61
celegans,2-3,0.80,0.64
celegans,2-3,0.85,0.57
celegans,2-3,0.90,0.64
celegans,2-3,0.95,0.47
celegans,2-3,0.00,0.49
celegans,2-3,0.05,0.47
celegans,2-3,0.10,0.54
celegans,2-3,0.15,0.54
celegans,2-3,0.20,0.54
celegans,2-3,0.25,0.55
celegans,2-3,0.30,0.64
celegans,2-3,0.35,0.57
celegans,2-3,0.40,0.63
celegans,2-3,0.45,0.59
celegans,2-3,0.50,0.56
celegans,2-3,0.55,0.64
celegans,2-3,0.60,0.64
celegans,2-3,0.65,0.64
celegans,2-3,0.70,0.66
celegans,2-3,0.75,0.63
celegans,2-3,0.80,0.62
celegans,2-3,0.85,0.62
celegans,2-3,0.90,0.65
celegans,2-3,0.95,0.70
celegans,2-3,0.00,0.52
celegans,2-3,0.05,0.57
celegans,2-3,0.10,0.55
celegans,2-3,0.15,0.51
celegans,2-3,0.20,0.58
celegans,2-3,0.25,0.58
celegans,2-3,0.30,0.61
celegans,2-3,0.35,0.60
celegans,2-3,0.40,0.56
celegans,2-3,0.45,0.56
celegans,2-3,0.50,0.58
celegans,2-3,0.55,0.61
celegans,2-3,0.60,0.61
celegans,2-3,0.65,0.63
celegans,2-3,0.70,0.62
celegans,2-3,0.75,0.64
celegans,2-3,0.80,0.62
celegans,2-3,0.85,0.66
celegans,2-3,0.90,0.62
celegans,2-3,0.95,0.42
celegans,2-3,0.00,0.49
celegans,2-3,0.05,0.51
celegans,2-3,0.10,0.57
celegans,2-3,0.15,0.53
celegans,2-3,0.20,0.57
celegans,2-3,0.25,0.58
celegans,2-3,0.30,0.58
celegans,2-3,0.35,0.57
celegans,2-3,0.40,0.57
celegans,2-3,0.45,0.60
celegans,2-3,0.50,0.59
celegans,2-3,0.55,0.64
celegans,2-3,0.60,0.63
celegans,2-3,0.65,0.63
celegans,2-3,0.70,0.61
celegans,2-3,0.75,0.63
celegans,2-3,0.80,0.63
celegans,2-3,0.85,0.58
celegans,2-3,0.90,0.73
celegans,2-3,0.95,0.61
london,1-2,0.00,0.53
london,1-2,0.05,0.53
london,1-2,0.10,0.46
london,1-2,0.15,0.47
london,1-2,0.20,0.50
london,1-2,0.25,0.55
london,1-2,0.30,0.54
london,1-2,0.35,0.58
london,1-2,0.40,0.53
london,1-2,0.45,0.62
london,1-2,0.50,0.46
london,1-2,0.55,0.57
london,1-2,0.60,0.64
london,1-2,0.65,0.53
london,1-2,0.70,0.60
london,1-2,0.75,0.62
london,1-2,0.80,0.66
london,1-2,0.85,0.60
london,1-2,0.90,0.54
london,1-2,0.95,0.56
london,1-2,0.00,0.49
london,1-2,0.05,0.45
london,1-2,0.10,0.46
london,1-2,0.15,0.55
london,1-2,0.20,0.53
london,1-2,0.25,0.50
london,1-2,0.30,0.56
london,1-2,0.35,0.53
london,1-2,0.40,0.66
london,1-2,0.45,0.59
london,1-2,0.50,0.64
london,1-2,0.55,0.59
london,1-2,0.60,0.52
london,1-2,0.65,0.56
london,1-2,0.70,0.53
london,1-2,0.75,0.60
london,1-2,0.80,0.52
london,1-2,0.85,0.70
london,1-2,0.90,0.52
london,1-2,0.95,0.82
london,1-2,0.00,0.50
london,1-2,0.05,0.52
london,1-2,0.10,0.53
london,1-2,0.15,0.55
london,1-2,0.20,0.61
london,1-2,0.25,0.51
london,1-2,0.30,0.44
london,1-2,0.35,0.48
london,1-2,0.40,0.56
london,1-2,0.45,0.53
london,1-2,0.50,0.53
london,1-2,0.55,0.59
london,1-2,0.60,0.54
london,1-2,0.65,0.53
london,1-2,0.70,0.46
london,1-2,0.75,0.58
london,1-2,0.80,0.51
london,1-2,0.85,0.56
london,1-2,0.90,0.55
london,1-2,0.95,0.82
london,1-2,0.00,0.51
london,1-2,0.05,0.54
london,1-2,0.10,0.48
london,1-2,0.15,0.46
london,1-2,0.20,0.46
london,1-2,0.25,0.58
london,1-2,0.30,0.56
london,1-2,0.35,0.55
london,1-2,0.40,0.50
london,1-2,0.45,0.56
london,1-2,0.50,0.57
london,1-2,0.55,0.53
london,1-2,0.60,0.60
london,1-2,0.65,0.58
london,1-2,0.70,0.69
london,1-2,0.75,0.56
london,1-2,0.80,0.51
london,1-2,0.85,0.68
london,1-2,0.90,0.77
london,1-2,0.95,0.37
london,1-2,0.00,0.50
london,1-2,0.05,0.51
london,1-2,0.10,0.50
london,1-2,0.15,0.51
london,1-2,0.20,0.53
london,1-2,0.25,0.50
london,1-2,0.30,0.59
london,1-2,0.35,0.57
london,1-2,0.40,0.52
london,1-2,0.45,0.53
london,1-2,0.50,0.65
london,1-2,0.55,0.54
london,1-2,0.60,0.49
london,1-2,0.65,0.56
london,1-2,0.70,0.53
london,1-2,0.75,0.62
london,1-2,0.80,0.62
london,1-2,0.85,0.61
london,1-2,0.90,0.51
london,1-2,0.95,0.81
drosophila,2-3,0.00,0.49
