system,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,0.05,LE,0.1,2.1,1.0,1,0.6742665641138337,0.6990515639044779,0.6494966904918722,-0.0662188334396163,-1.2842485101945764,-16.057656896366055
LFR,0.05,LE,0.2,2.1,1.0,1,0.6825936684193109,0.7075972703640625,0.6602503735224515,-0.07466445923940832,0.43866667810345267,-15.855490817267123
LFR,0.05,LE,0.3,2.1,1.0,1,0.6802180741596563,0.7085433689100895,0.6591752714632673,-0.06586399036677575,0.09118902897279846,-15.755583787762768
LFR,0.05,LE,0.4,2.1,1.0,1,0.6883026599831693,0.7164524869644354,0.6656562327485281,-0.028960863588312222,-0.07691557690891966,-16.558181619395576
LFR,0.05,LE,0.5,2.1,1.0,1,0.6733684725316524,0.7027127159993227,0.652109349968262,0.031353331175233486,-0.2704314696106942,-15.345301358221981
LFR,0.05,LE,0.3,2.7,1.0,1,0.5761383200849848,0.5850019475926641,0.5618079188366344,-0.008986357105181616,-1.166523046446474,-9.58773332132693
LFR,0.05,LE,0.1,4.0,1.0,1,0.5736713548437931,0.6017499779759845,0.5853331145431445,0.001763255964488902,-4.2061335761379315,-4.473182101584843
LFR,0.05,LE,0.1,2.1,1.0,1,0.6692671135040106,0.6950672633829147,0.6471315658144495,-0.07215953857320008,-1.0190443039517245,-15.707937457397128
LFR,0.05,LE,0.2,2.1,1.0,1,0.6826672059418318,0.7103860680861227,0.6618747859610717,-0.07443998008827121,0.12011115919499055,-16.45181020167876
LFR,0.05,LE,0.3,2.1,1.0,1,0.6846589883380871,0.7116616022016858,0.661744416216882,-0.06228353069633647,0.1760478474534973,-16.216448695122725
LFR,0.05,LE,0.4,2.1,1.0,1,0.6884307196955838,0.716594648058125,0.6646181493551945,-0.021513811689526825,-0.1784981081926938,-16.167395400762267
LFR,0.05,LE,0.5,2.1,1.0,1,0.668459852560271,0.6957923815979732,0.6453095233195434,0.024750671480790083,-0.30102569577296545,-15.021537738283017
LFR,0.05,LE,0.3,2.7,1.0,1,0.5782629400344335,0.5835056915123654,0.5602279200240369,-0.01429125798293919,-0.8706084559252062,-9.756944055001657
LFR,0.05,LE,0.1,4.0,1.0,1,0.569920220624446,0.594229815917611,0.5766147057164158,-0.006819483916321412,-3.549939867593921,-4.560874977057193
LFR,0.05,LE,0.1,2.1,1.0,1,0.6689557924037651,0.6955514221539111,0.6481592427440088,-0.06535925091016972,-0.7222277941762488,-15.682313897178506
LFR,0.05,LE,0.2,2.1,1.0,1,0.6783836452549914,0.7101051832490264,0.6599897895315179,-0.06039629218148762,-0.030733795425006406,-15.799907648076076
LFR,0.05,LE,0.3,2.1,1.0,1,0.679694551756508,0.7089732812607827,0.6615746138554303,-0.05666032033935171,-0.03219565776379979,-16.328285598730076
LFR,0.05,LE,0.4,2.1,1.0,1,0.6806556657275621,0.7080885599301696,0.6577628109752595,-0.021201046122952285,0.08314563623709217,-15.311722472204401
LFR,0.05,LE,0.5,2.1,1.0,1,0.6650183846836567,0.7019575182955199,0.6553315904320185,0.036834075258126035,-0.12257255228400114,-15.553550629284441
LFR,0.05,LE,0.3,2.7,1.0,1,0.5757720063005971,0.5848705193219881,0.5605054720300482,-0.01805104013232517,-0.8704213494195764,-9.74537353660476
LFR,0.05,LE,0.1,4.0,1.0,1,0.5850290554515907,0.615971600783707,0.5982829928605468,0.003328171006618591,-5.002508688650841,-4.177555407272358
LFR,0.05,LE,0.1,2.1,1.0,1,0.672764897630297,0.6990964278512393,0.6491976513777451,-0.06728358862088683,-0.7863174460395612,-15.239556889854988
LFR,0.05,LE,0.2,2.1,1.0,1,0.6795050924734346,0.7083270701812687,0.655376107465049,-0.05810642200261504,0.04728607282646483,-16.326689450199833
LFR,0.05,LE,0.3,2.1,1.0,1,0.6798570242264506,0.7073454592777475,0.6606639583596043,-0.048085085412353346,0.15325894545563687,-15.877282589771632
LFR,0.05,LE,0.4,2.1,1.0,1,0.6830705060188065,0.7100847350508159,0.6597016686213857,-0.021980377309136503,-0.03221366568765346,-15.625329481718765
LFR,0.05,LE,0.5,2.1,1.0,1,0.6735133764422467,0.7026364832446835,0.6535736841476487,0.03833621597895109,-0.041382696176821304,-15.694135807529294
LFR,0.05,LE,0.3,2.7,1.0,1,0.5772555771273673,0.5839889482115463,0.5607491996643218,-0.01762226666085304,-1.034305791566595,-10.158919358673154
LFR,0.05,LE,0.1,4.0,1.0,1,0.5750615581601497,0.603624004359654,0.5846574777937352,0.00568481992581616,-4.281194678852397,-4.808575985190104
LFR,0.10,LE,0.1,2.1,1.0,1,0.6888966210469342,0.7188775467164069,0.6791563952812991,-0.07037415995230939,-0.8744354477610116,-14.431948053969602
LFR,0.10,LE,0.2,2.1,1.0,1,0.6958588838003571,0.7305280495759732,0.6887041785404355,-0.06991525460604371,-0.11464223798941735,-14.881383663920587
LFR,0.10,LE,0.3,2.1,1.0,1,0.6986737299439765,0.7325497859234056,0.6904174536203147,-0.05680942780318724,0.013317831691355468,-14.214432032074653
LFR,0.10,LE,0.4,2.1,1.0,1,0.6978333912640482,0.7323379598689472,0.6908701452571806,-0.02193769952602158,-0.04968275648238742,-14.420953111905115
LFR,0.10,LE,0.5,2.1,1.0,1,0.6878764124428809,0.7222482878880091,0.6776039739636114,0.03396047573926496,-0.21894054485479852,-13.661261407785418
LFR,0.10,LE,0.3,2.7,1.0,1,0.5859368958317223,0.6031060928548732,0.5754517390730153,-0.00433916900456346,-1.0867246003352729,-9.246718703608524
LFR,0.10,LE,0.1,4.0,1.0,1,0.5849464601309907,0.6176053492909388,0.6015315236083871,-0.00575237980944095,-3.4390016714857894,-4.270482798456033
LFR,0.10,LE,0.1,2.1,1.0,1,0.6877367973401376,0.7147330863885446,0.6763806787568046,-0.07684566057536396,-0.8189083057215912,-14.118866207317751
LFR,0.10,LE,0.2,2.1,1.0,1,0.6974113172397733,0.7269908213080847,0.6848245652423272,-0.06899361189038143,-0.19637218873474876,-14.373990205170218
LFR,0.10,LE,0.3,2.1,1.0,1,0.6973970044590114,0.7329802687195618,0.6933942345692192,-0.05532405933567883,-0.1463496453232544,-14.53299408168656
LFR,0.10,LE,0.4,2.1,1.0,1,0.6972733943536863,0.7325603561212148,0.6888497044386983,-0.015048316012709978,-0.2489750973509662,-13.950711466248052
LFR,0.10,LE,0.5,2.1,1.0,1,0.6851041049270596,0.7197837116585919,0.6777277723883275,0.019734442987421347,-0.40325645856320236,-13.742983734788627
LFR,0.10,LE,0.3,2.7,1.0,1,0.5805235480627948,0.5952014999202115,0.5715863705047658,-0.008776924550502902,-1.1963027478539516,-9.028178512966996
LFR,0.10,LE,0.1,4.0,1.0,1,0.6033310460981848,0.6411858416748387,0.6185064311719755,-0.016245700153721173,-4.251901479342658,-4.355690864934289
LFR,0.10,LE,0.1,2.1,1.0,1,0.6869055903502668,0.7120999676143764,0.6759049783545975,-0.06397078386284544,-0.7921937223359905,-14.41958639511019
LFR,0.10,LE,0.2,2.1,1.0,1,0.6922494760537142,0.7256421681049472,0.6893649957987268,-0.07057567389115184,-0.2576905427572226,-14.219134895039234
LFR,0.10,LE,0.3,2.1,1.0,1,0.6961965013910592,0.7309238786004207,0.6913854135684698,-0.04620445880904019,-0.1267994004540565,-14.224961583745657
LFR,0.10,LE,0.4,2.1,1.0,1,0.6972154636388213,0.7294882078073206,0.6900386794898649,-0.015515593171699416,-0.12516880112875692,-13.75133227294063
LFR,0.10,LE,0.5,2.1,1.0,1,0.690591361872168,0.7250046373675112,0.6816911945150925,0.04077743024175474,-0.24560007571409126,-13.979041481772496
LFR,0.10,LE,0.3,2.7,1.0,1,0.5777202072538861,0.5946713262072888,0.5713246179293193,-0.01145470183439904,-1.2401624497431931,-8.998752633906737
LFR,0.10,LE,0.1,4.0,1.0,1,0.6020418771962656,0.6393876687561155,0.6243803680154387,-0.0024477576970593625,-4.168948169199785,-4.413818730313508
LFR,0.10,LE,0.1,2.1,1.0,1,0.6927627000695894,0.7158037583071001,0.6778515938222525,-0.07050690579799776,-0.8722500709430874,-14.317591278246638
LFR,0.10,LE,0.2,2.1,1.0,1,0.6990801831871458,0.7276902448103664,0.6834293753696065,-0.04363842049490086,-0.4238983362712084,-15.12597390282818
LFR,0.10,LE,0.3,2.1,1.0,1,0.6945005526125233,0.7298988019815174,0.6887412215225966,-0.03894609785013962,-0.010755389980293422,-14.47547864989473
LFR,0.10,LE,0.4,2.1,1.0,1,0.696346502915846,0.7331347471500336,0.6922691090610695,-0.025840428325230202,-0.08604757681130984,-14.272789186868598
LFR,0.10,LE,0.5,2.1,1.0,1,0.6869013249717989,0.7211910495003175,0.6805669867470416,0.03906854592681391,-0.16861550485739107,-13.865948922606778
LFR,0.10,LE,0.3,2.7,1.0,1,0.5819928853143609,0.5997797907875081,0.575604444587435,-0.017335448029920587,-1.213482001377627,-9.454236830520049
LFR,0.10,LE,0.1,4.0,1.0,1,0.6110036803692845,0.6499735965095774,0.6301825063184079,0.013978666843684711,-4.662818154646446,-4.434109409274217
LFR,0.15,LE,0.1,2.1,1.0,1,0.6947480453559294,0.7395722761597932,0.709336299484268,-0.0731861371289248,-1.0993072340268777,-13.17168579791422
LFR,0.15,LE,0.2,2.1,1.0,1,0.7052888961946248,0.752932910410664,0.7146160000608375,-0.07107830393120783,-0.4542006809924207,-13.37131982377023
LFR,0.15,LE,0.3,2.1,1.0,1,0.7058028328154634,0.7536995681377943,0.7173667948006411,-0.04274098353059527,-0.3381651452474368,-12.64119134268418
LFR,0.15,LE,0.4,2.1,1.0,1,0.7034431994765683,0.7524947436456473,0.7183012035720895,-0.01391747409923363,-0.21926169107956336,-12.776720612363468
LFR,0.15,LE,0.5,2.1,1.0,1,0.6967709282316024,0.7430712080544016,0.7050541644533903,0.03420512301472224,-0.42486493460436464,-12.186140528546332
LFR,0.15,LE,0.3,2.7,1.0,1,0.5886386898669396,0.6128753376796304,0.5855041214613267,-0.006224366712200491,-1.2207406731997341,-8.573193083457465
LFR,0.15,LE,0.1,4.0,1.0,1,0.6176826717742113,0.6583707207436374,0.6394184244256319,0.0007665412039183807,-4.0755279278558465,-4.534036158213223
LFR,0.15,LE,0.1,2.1,1.0,1,0.6913913790986123,0.7355898760017412,0.7012828315437483,-0.07295990634374384,-0.8762770334251146,-12.888478971778166
LFR,0.15,LE,0.2,2.1,1.0,1,0.7018780307388839,0.7472487313532463,0.7100772364493003,-0.05488646976599325,-0.4527536484312285,-13.006916479109801
LFR,0.15,LE,0.3,2.1,1.0,1,0.7064081352649207,0.7551193025374661,0.7200249614443903,-0.04588513404031392,-0.356700510211642,-12.920513992694744
LFR,0.15,LE,0.4,2.1,1.0,1,0.702175513208473,0.7508867335628864,0.7156869279448881,-0.002420807276035409,-0.2884170830648294,-12.362876540984972
LFR,0.15,LE,0.5,2.1,1.0,1,0.6985727300334041,0.7443698908054787,0.705387735247125,0.014497357804033767,-0.3580409645232261,-12.294279625847796
LFR,0.15,LE,0.3,2.7,1.0,1,0.5881064483111565,0.6116107810239395,0.5887929938011033,0.0026760297766218405,-1.578593755874183,-8.622433688373677
LFR,0.15,LE,0.1,4.0,1.0,1,0.626142092864534,0.672401434738324,0.6510062335591619,-0.013902830315684652,-4.479362414063664,-4.547527572002723
LFR,0.15,LE,0.1,2.1,1.0,1,0.6948299152646444,0.7383822283843999,0.7073380977423532,-0.07239165511536952,-0.961570510314546,-13.342264018265244
LFR,0.15,LE,0.2,2.1,1.0,1,0.7002753349223308,0.747265710344064,0.7148803459530797,-0.05971970035355783,-0.4991510054216774,-13.108263402217196
LFR,0.15,LE,0.3,2.1,1.0,1,0.7026350833299705,0.7516898480631822,0.7153102546173318,-0.039729539316493735,-0.5095903710971319,-13.011411850986779
LFR,0.15,LE,0.4,2.1,1.0,1,0.704097489163327,0.7536312890323553,0.7210507580403446,-0.016772647845140994,-0.24580162354193635,-12.464634310282392
LFR,0.15,LE,0.5,2.1,1.0,1,0.6970341127644498,0.7448911522190154,0.7063247073432114,0.04906810774881063,-0.3392780573241389,-12.265596995545321
LFR,0.15,LE,0.3,2.7,1.0,1,0.5856499488229273,0.6092272238978595,0.5870107329578418,-0.008895747639395069,-1.4178390322544412,-8.564140649027047
LFR,0.15,LE,0.1,4.0,1.0,1,0.6277712952158693,0.6736725052975685,0.6600478067425234,-0.01600027695801398,-4.358431285556767,-4.296374662254033
LFR,0.15,LE,0.1,2.1,1.0,1,0.698759670882967,0.7381993725180398,0.7055444008254275,-0.07935516549003249,-1.0111397475271255,-12.943371118033603
LFR,0.15,LE,0.2,2.1,1.0,1,0.7039122215829703,0.7488650184685959,0.7123755290207952,-0.05103539480310662,-0.671694154764639,-13.522718305762812
LFR,0.15,LE,0.3,2.1,1.0,1,0.704007102215407,0.7512115090706188,0.7148669932154723,-0.03883038685456435,-0.2964792991762858,-12.995038922322394
LFR,0.15,LE,0.4,2.1,1.0,1,0.7064079496196941,0.7561908422467337,0.719808331396224,-0.026595989979250233,-0.20218403143637267,-12.731817264951193
LFR,0.15,LE,0.5,2.1,1.0,1,0.6990586091709687,0.7469206226899345,0.7095100728456831,0.0461568085277257,-0.23450502005489154,-12.588519128560351
LFR,0.15,LE,0.3,2.7,1.0,1,0.5867963152507677,0.6122617709886238,0.5888620091117371,-0.023047213961979993,-1.3658187427206507,-8.819381897555187
LFR,0.15,LE,0.1,4.0,1.0,1,0.6256357191607407,0.6700182278501197,0.6547445520079181,0.004135747187727097,-4.376700837616874,-4.51356719208812
LFR,0.20,LE,0.1,2.1,1.0,1,0.7019615518441197,0.7568218090531867,0.7303635441856293,-0.08882137875756793,-1.1110089918027901,-12.136575202717212
LFR,0.20,LE,0.2,2.1,1.0,1,0.711413351962625,0.768425688668305,0.7357524689165627,-0.07179251015453143,-0.6876452092644026,-12.139470962517553
LFR,0.20,LE,0.3,2.1,1.0,1,0.7149931401131882,0.7721900125412637,0.7383058172237058,-0.04377283267198991,-0.532738152311934,-11.574853297539686
LFR,0.20,LE,0.4,2.1,1.0,1,0.7139815780326729,0.7717892146691202,0.739779220277581,-0.01677412289089981,-0.3573052259954623,-11.453969127221793
LFR,0.20,LE,0.5,2.1,1.0,1,0.7049966660213804,0.761559678399132,0.7291412673726203,0.03242877239944607,-0.4061583251925525,-11.14572814339561
LFR,0.20,LE,0.3,2.7,1.0,1,0.5952194527817652,0.6247113560606665,0.5999409515535191,-0.008432977896228966,-1.54352791578438,-8.234941552985184
LFR,0.20,LE,0.1,4.0,1.0,1,0.6431662417253398,0.6931762903120464,0.6745784538645881,0.0045198208640174755,-4.47335721203218,-4.474419395699071
LFR,0.20,LE,0.1,2.1,1.0,1,0.7016788448155881,0.7571016010107173,0.7264260124687982,-0.06470945816478929,-0.9413231763778537,-11.86897667710282
LFR,0.20,LE,0.2,2.1,1.0,1,0.710081648692311,0.7646274466680284,0.7300044446831322,-0.041721203784598766,-0.6582530158431128,-11.89623839783057
LFR,0.20,LE,0.3,2.1,1.0,1,0.7133424798490825,0.7700202817977032,0.7371183605668596,-0.049397825579578725,-0.5660185054628557,-11.650662517565626
LFR,0.20,LE,0.4,2.1,1.0,1,0.7110488355926312,0.7699621394235852,0.7393292132750979,-0.005761119403826159,-0.23876802048911205,-11.22244190802758
LFR,0.20,LE,0.5,2.1,1.0,1,0.7080510206276484,0.7628281782711689,0.728734079061436,0.013947407448973067,-0.3765776641038616,-11.084241592095822
LFR,0.20,LE,0.3,2.7,1.0,1,0.597546652746966,0.6250351534184805,0.6008497727305406,0.012284387693959491,-1.6332409198690665,-8.249373904078087
LFR,0.20,LE,0.1,4.0,1.0,1,0.6394535544691103,0.692917725116837,0.6669764796029056,-0.01367175714700235,-4.5388521842057274,-4.548031091458961
LFR,0.20,LE,0.1,2.1,1.0,1,0.7061586638830898,0.7593608623785636,0.729095680836257,-0.07556205320692942,-0.9856436338281346,-12.07376171538136
LFR,0.20,LE,0.2,2.1,1.0,1,0.7082259965943326,0.7650100793844545,0.735045909193379,-0.05245039240203594,-0.6490348186373129,-11.950520443389149
LFR,0.20,LE,0.3,2.1,1.0,1,0.714199965700566,0.7701889095300516,0.7395852129077415,-0.04247366410337329,-0.6165831863439306,-11.701046247917898
LFR,0.20,LE,0.4,2.1,1.0,1,0.7106143552311436,0.7698167331027461,0.7401460338696138,-0.015278907959223473,-0.3490956923575864,-11.261678797480712
LFR,0.20,LE,0.5,2.1,1.0,1,0.7079219633907639,0.7640194432950113,0.7279034620324705,0.03690580249887639,-0.20959207750151426,-10.99301919245017
LFR,0.20,LE,0.3,2.7,1.0,1,0.5956544434294663,0.624523236654888,0.6014507001832989,-0.009410842063732595,-1.6693312900034103,-8.103704148375892
LFR,0.20,LE,0.1,4.0,1.0,1,0.6415354745140237,0.6923482006155792,0.683474457957578,-0.01378348883492188,-4.391021787248923,-4.398194843434192
LFR,0.20,LE,0.1,2.1,1.0,1,0.7050278357689631,0.7588417451726878,0.733383135691584,-0.08000510550302169,-0.9218314418746707,-12.025013084323291
LFR,0.20,LE,0.2,2.1,1.0,1,0.7116753263764573,0.7673771352095269,0.7330465914064962,-0.038124548918618335,-0.7233570971630207,-11.92634575891859
LFR,0.20,LE,0.3,2.1,1.0,1,0.7131495455324988,0.7695505781507546,0.7355829419903916,-0.033620779125133754,-0.44680618927732474,-11.788332113598528
LFR,0.20,LE,0.4,2.1,1.0,1,0.711548488008342,0.7713523727550943,0.7388390796877468,-0.020926615218560617,-0.28516400267149555,-11.553788559273313
LFR,0.20,LE,0.5,2.1,1.0,1,0.7043728893764385,0.7613398167610588,0.727709075440081,0.04533664989163675,-0.35295163683675396,-11.165344665984144
LFR,0.20,LE,0.3,2.7,1.0,1,0.5915220322763061,0.6210864169669733,0.5984467958401004,-0.025409659125862672,-1.6990689973728792,-8.316643360438878
LFR,0.20,LE,0.1,4.0,1.0,1,0.6405763877517603,0.6891916016128238,0.6734945189729938,0.011317434093087516,-4.331637637824639,-4.613994575278531
LFR,0.25,LE,0.1,2.1,1.0,1,0.7127812572488982,0.773092296623662,0.7505163600690649,-0.09011275053722667,-1.2144940470464118,-11.135414316139784
LFR,0.25,LE,0.2,2.1,1.0,1,0.7170501117734724,0.7797240659203903,0.7479194584245407,-0.05507646889863408,-0.8907685484760719,-11.087657911834933
LFR,0.25,LE,0.3,2.1,1.0,1,0.7239549986280069,0.7849416791894828,0.7544513051437826,-0.040113829293376216,-0.5849716482654417,-10.492095689731878
LFR,0.25,LE,0.4,2.1,1.0,1,0.7221115076238588,0.7867923367898839,0.7591330713026033,-0.01660777105184559,-0.23797112800467402,-10.363394623118614
LFR,0.25,LE,0.5,2.1,1.0,1,0.7120110129631754,0.7713623618356046,0.7432031318674219,0.023203627324940947,-0.6448710078765676,-9.959171735634023
LFR,0.25,LE,0.3,2.7,1.0,1,0.6025890868596881,0.636980851099449,0.6131396219216138,-0.005894477643551995,-1.7695788664460859,-7.960590808823395
LFR,0.25,LE,0.1,4.0,1.0,1,0.6433543751091594,0.6927074693276375,0.677514231942872,-0.00973216561569006,-4.162962276358564,-4.606912687917593
LFR,0.25,LE,0.1,2.1,1.0,1,0.7103920204128973,0.771435789646775,0.7442592849286536,-0.06727582504335354,-1.0010248787471745,-10.92688169927907
LFR,0.25,LE,0.2,2.1,1.0,1,0.7197047317436661,0.778996567081574,0.7485842679867515,-0.03720215480551705,-0.7627398831299165,-10.763383508521716
LFR,0.25,LE,0.3,2.1,1.0,1,0.7196789536266349,0.7815074968027613,0.7543265989385627,-0.05809721040674427,-0.7547271722052852,-10.662431809819985
LFR,0.25,LE,0.4,2.1,1.0,1,0.7214394957593734,0.7860539338265583,0.7592363645779543,0.003671445856616375,-0.17956171320190037,-10.197524597123532
LFR,0.25,LE,0.5,2.1,1.0,1,0.7180451990363658,0.7781553444362078,0.7483094294361892,0.011596047968231535,-0.4407439839558817,-10.12092586914878
LFR,0.25,LE,0.3,2.7,1.0,1,0.6035866740905717,0.6359909540448156,0.6122651847912193,0.02189858300877586,-1.7544597734563032,-7.700079703537478
LFR,0.25,LE,0.1,4.0,1.0,1,0.6589899695593593,0.7161662526827769,0.6939599301784961,-0.023333458250434407,-4.690059500100407,-4.566530250164622
LFR,0.25,LE,0.1,2.1,1.0,1,0.7143818139642775,0.7749996871085663,0.7473534737457936,-0.06821874803036844,-0.961281087545197,-10.994444933964399
LFR,0.25,LE,0.2,2.1,1.0,1,0.7170035394932935,0.7780716956481362,0.7511388741663815,-0.04731694734295169,-0.8242018322812747,-10.885864021876436
LFR,0.25,LE,0.3,2.1,1.0,1,0.7225372724778194,0.7846179563441759,0.7579262531582562,-0.040870126206636714,-0.7799982589472185,-10.780054479121024
LFR,0.25,LE,0.4,2.1,1.0,1,0.7205821013115817,0.7822366588241924,0.7542693513430984,-0.01265315798266658,-0.419380804709959,-10.12027168086413
LFR,0.25,LE,0.5,2.1,1.0,1,0.715636113341746,0.7775582042537066,0.7460535334782202,0.021781449199625224,-0.05001902741933013,-9.90019747718955
LFR,0.25,LE,0.3,2.7,1.0,1,0.6006171121009651,0.6341902105761436,0.6105452418846842,0.004152653188429196,-1.8566748297812723,-7.768440224582591
