theta,system,layers,embedding,intercept,coef_distances,coef_degrees,condA or condB,abs(signed_magnitude_diff)
0.05,arxiv,6-7,Isomap,-0.79,0.13,-10.32,True,10.19
0.05,arxiv,6-7,Isomap,-0.75,0.00,-11.71,True,11.71
0.10,arxiv,6-7,Isomap,-0.60,0.14,-9.58,True,9.44
0.95,arxiv,6-7,Isomap,0.69,0.04,-3.82,True,3.78
0.95,arxiv,6-7,Isomap,0.66,0.06,-3.84,True,3.78
0.95,arxiv,6-7,Isomap,0.73,0.01,-3.87,True,3.86
0.05,arxiv,6-7,LE,-0.78,0.50,-10.67,True,10.17
0.05,arxiv,6-7,LE,-0.69,0.21,-10.93,True,10.72
0.05,arxiv,6-7,LE,-0.70,0.51,-11.16,True,10.65
0.10,arxiv,6-7,LE,-0.68,0.10,-9.29,True,9.19
0.50,celegans,1-2,Isomap,-0.49,0.16,-5.53,True,5.37
0.55,celegans,1-2,Isomap,-0.56,0.30,-5.46,True,5.16
0.55,celegans,1-2,Isomap,-0.58,0.48,-5.29,True,4.81
0.60,celegans,1-2,Isomap,-0.62,0.85,-4.96,True,4.11
0.60,celegans,1-2,Isomap,-0.76,0.29,-5.67,True,5.38
0.60,celegans,1-2,Isomap,-0.56,0.90,-4.85,True,3.96
0.85,drosophila,1-2,HOPE,3.23,0.18,-7.94,True,7.77
0.85,drosophila,1-2,HOPE,3.23,0.18,-7.94,True,7.76
0.85,drosophila,1-2,HOPE,2.98,0.21,-7.64,True,7.43
0.85,drosophila,1-2,HOPE,2.98,0.21,-7.64,True,7.43
0.85,drosophila,1-2,HOPE,3.06,0.23,-7.76,True,7.53
0.85,drosophila,1-2,HOPE,3.06,0.23,-7.76,True,7.53
0.85,drosophila,1-2,HOPE,3.18,0.23,-7.91,True,7.67
0.85,drosophila,1-2,HOPE,3.18,0.23,-7.91,True,7.67
0.85,drosophila,1-2,HOPE,3.19,0.22,-7.91,True,7.69
0.90,drosophila,1-2,HOPE,3.15,0.61,-7.64,True,7.03
0.90,drosophila,1-2,HOPE,3.15,0.61,-7.64,True,7.03
0.90,drosophila,1-2,HOPE,3.01,0.61,-7.48,True,6.86
0.90,drosophila,1-2,HOPE,3.01,0.61,-7.48,True,6.86
0.90,drosophila,1-2,HOPE,3.17,0.60,-7.66,True,7.06
0.90,drosophila,1-2,HOPE,3.17,0.60,-7.66,True,7.06
0.90,drosophila,1-2,HOPE,3.37,0.65,-7.91,True,7.26
0.90,drosophila,1-2,HOPE,3.37,0.65,-7.91,True,7.26
0.90,drosophila,1-2,HOPE,3.17,0.65,-7.67,True,7.02
0.95,drosophila,1-2,HOPE,3.11,1.11,-7.46,True,6.34
0.95,drosophila,1-2,HOPE,3.11,1.11,-7.46,True,6.34
0.95,drosophila,1-2,HOPE,3.06,1.11,-7.40,True,6.30
0.95,drosophila,1-2,HOPE,3.06,1.11,-7.40,True,6.30
0.95,drosophila,1-2,HOPE,2.98,1.14,-7.33,True,6.18
0.95,drosophila,1-2,HOPE,2.98,1.14,-7.33,True,6.18
0.95,drosophila,1-2,HOPE,3.16,1.12,-7.49,True,6.38
0.95,drosophila,1-2,HOPE,3.16,1.12,-7.49,True,6.38
0.95,drosophila,1-2,HOPE,3.00,1.14,-7.33,True,6.19
0.05,drosophila,1-2,LE,-0.92,0.43,-35.55,True,35.12
0.05,drosophila,1-2,LE,-0.88,0.74,-40.24,True,39.50
0.05,drosophila,1-2,LE,-0.91,0.01,-40.18,True,40.17
0.90,drosophila,1-2,LE,3.41,0.35,-7.85,True,7.50
0.90,drosophila,1-2,LE,3.18,0.42,-7.60,True,7.18
0.90,drosophila,1-2,LE,3.33,0.42,-7.79,True,7.37
0.90,drosophila,1-2,LE,3.63,0.36,-8.11,True,7.75
0.95,drosophila,1-2,LE,3.15,1.03,-7.48,True,6.45
0.95,drosophila,1-2,LE,2.96,1.12,-7.33,True,6.22
0.95,drosophila,1-2,LE,2.93,1.12,-7.29,True,6.17
0.95,drosophila,1-2,LE,3.19,1.01,-7.50,True,6.49
0.90,drosophila,1-2,N2V,3.71,0.02,-8.11,True,8.09
0.90,drosophila,1-2,N2V,3.71,0.02,-8.11,True,8.09
0.90,drosophila,1-2,N2V,3.54,0.06,-7.90,True,7.85
0.90,drosophila,1-2,N2V,3.55,0.05,-7.91,True,7.86
0.90,drosophila,1-2,N2V,3.72,0.02,-8.11,True,8.09
0.90,drosophila,1-2,N2V,3.72,0.02,-8.11,True,8.09
0.90,drosophila,1-2,N2V,3.98,0.03,-8.41,True,8.38
0.90,drosophila,1-2,N2V,3.98,0.03,-8.41,True,8.39
0.90,drosophila,1-2,N2V,3.76,0.04,-8.15,True,8.11
0.95,drosophila,1-2,N2V,3.67,0.68,-7.86,True,7.18
0.95,drosophila,1-2,N2V,3.67,0.68,-7.86,True,7.19
0.95,drosophila,1-2,N2V,3.56,0.72,-7.75,True,7.04
0.95,drosophila,1-2,N2V,3.56,0.72,-7.76,True,7.04
0.95,drosophila,1-2,N2V,3.54,0.71,-7.72,True,7.01
0.95,drosophila,1-2,N2V,3.54,0.72,-7.72,True,7.01
0.95,drosophila,1-2,N2V,3.73,0.68,-7.91,True,7.23
0.95,drosophila,1-2,N2V,3.72,0.68,-7.91,True,7.23
0.95,drosophila,1-2,N2V,3.54,0.71,-7.72,True,7.01
0.55,london,1-3,HOPE,-0.52,0.08,-4.19,True,4.11
0.55,london,1-3,HOPE,-0.52,0.08,-4.19,True,4.11
0.60,london,1-3,HOPE,-0.21,0.11,-4.62,True,4.50
0.60,london,1-3,HOPE,-0.21,0.11,-4.62,True,4.51
0.60,london,1-3,HOPE,-0.30,0.18,-4.66,True,4.47
0.60,london,1-3,HOPE,-0.28,0.15,-4.67,True,4.52
0.65,london,1-3,HOPE,-0.53,0.44,-4.19,True,3.74
0.65,london,1-3,HOPE,-0.53,0.44,-4.19,True,3.74
0.65,london,1-3,HOPE,0.03,0.16,-4.95,True,4.79
0.65,london,1-3,HOPE,0.03,0.16,-4.95,True,4.79
0.65,london,1-3,HOPE,-0.30,0.32,-4.60,True,4.28
0.65,london,1-3,HOPE,-0.30,0.32,-4.60,True,4.28
0.70,london,1-3,HOPE,-0.77,0.74,-3.98,True,3.23
0.70,london,1-3,HOPE,-0.77,0.74,-3.98,True,3.24
0.70,london,1-3,HOPE,-0.09,0.42,-4.53,True,4.11
0.70,london,1-3,HOPE,-0.09,0.42,-4.53,True,4.11
0.70,london,1-3,HOPE,-0.44,0.54,-4.32,True,3.78
0.70,london,1-3,HOPE,-0.44,0.54,-4.32,True,3.79
0.75,london,1-3,HOPE,-0.92,0.96,-3.60,True,2.65
0.75,london,1-3,HOPE,-0.92,0.96,-3.60,True,2.65
0.75,london,1-3,HOPE,0.14,0.34,-4.58,True,4.23
0.75,london,1-3,HOPE,0.15,0.34,-4.58,True,4.23
0.75,london,1-3,HOPE,-0.63,0.84,-4.00,True,3.17
0.75,london,1-3,HOPE,-0.63,0.84,-4.00,True,3.16
0.75,london,1-3,HOPE,-0.10,0.51,-5.14,True,4.63
0.80,london,1-3,HOPE,0.48,0.10,-5.23,True,5.13
0.80,london,1-3,HOPE,0.48,0.10,-5.23,True,5.13
0.80,london,1-3,HOPE,-0.88,1.13,-3.64,True,2.51
0.80,london,1-3,HOPE,-0.88,1.13,-3.64,True,2.52
0.80,london,1-3,HOPE,-0.03,0.50,-4.25,True,3.75
0.80,london,1-3,HOPE,-0.03,0.50,-4.25,True,3.75
0.80,london,1-3,HOPE,-0.95,1.22,-3.42,True,2.20
0.80,london,1-3,HOPE,-0.95,1.22,-3.42,True,2.20
0.80,london,1-3,HOPE,-0.73,1.15,-3.83,True,2.67
0.85,london,1-3,HOPE,0.21,0.38,-4.86,True,4.49
0.85,london,1-3,HOPE,0.19,0.40,-4.85,True,4.45
0.85,london,1-3,HOPE,-0.52,0.66,-3.60,True,2.94
0.85,london,1-3,HOPE,-0.51,0.65,-3.60,True,2.95
0.85,london,1-3,HOPE,-0.08,0.72,-4.13,True,3.41
0.85,london,1-3,HOPE,-0.05,0.68,-4.15,True,3.47
0.85,london,1-3,HOPE,-0.80,1.42,-3.55,True,2.13
0.85,london,1-3,HOPE,-0.92,1.58,-3.44,True,1.86
0.85,london,1-3,HOPE,-0.34,0.67,-3.94,True,3.27
0.90,london,1-3,HOPE,-0.06,0.71,-4.33,True,3.62
0.90,london,1-3,HOPE,-0.04,0.71,-4.35,True,3.64
0.90,london,1-3,HOPE,-0.55,0.91,-3.26,True,2.35
0.90,london,1-3,HOPE,-0.55,0.93,-3.27,True,2.34
0.90,london,1-3,HOPE,-0.33,0.94,-3.58,True,2.64
0.90,london,1-3,HOPE,-0.34,0.97,-3.58,True,2.60
0.90,london,1-3,HOPE,-1.62,2.24,-2.71,True,0.48
0.90,london,1-3,HOPE,-1.63,2.27,-2.73,True,0.46
0.90,london,1-3,HOPE,-0.39,0.89,-3.88,True,2.99
0.95,london,1-3,HOPE,-1.57,2.40,-2.69,True,0.29
0.95,london,1-3,HOPE,-1.67,2.54,-2.72,True,0.17
0.95,london,1-3,HOPE,-0.39,1.16,-3.40,True,2.23
0.95,london,1-3,HOPE,-0.40,1.20,-3.40,True,2.20
0.95,london,1-3,HOPE,-0.52,1.33,-2.94,True,1.61
0.95,london,1-3,HOPE,-0.53,1.37,-2.95,True,1.58
0.95,london,1-3,HOPE,-1.73,2.58,-2.70,True,0.12
0.95,london,1-3,HOPE,-1.65,2.50,-2.72,True,0.22
0.95,london,1-3,HOPE,-0.40,0.92,-3.48,True,2.56
0.90,london,1-3,Isomap,0.17,0.44,-4.20,True,3.76
0.95,london,1-3,Isomap,0.65,0.15,-4.76,True,4.60
0.95,london,1-3,LE,0.72,0.01,-4.78,True,4.77
0.95,london,1-3,LE,0.47,0.07,-4.19,True,4.12
0.90,london,1-3,N2V,0.02,0.02,-3.99,True,3.98
0.90,london,1-3,N2V,-0.47,0.93,-3.23,True,2.30
0.90,london,1-3,N2V,-0.47,0.93,-3.23,True,2.31
0.95,london,1-3,N2V,0.17,0.59,-3.99,True,3.40
0.95,london,1-3,N2V,0.13,0.64,-3.94,True,3.31
0.95,london,1-3,N2V,0.40,0.03,-4.44,True,4.40
0.95,london,1-3,N2V,0.40,0.04,-4.43,True,4.39
0.95,london,1-3,N2V,0.28,0.21,-3.95,True,3.73
0.95,london,1-3,N2V,0.27,0.24,-3.92,True,3.68
0.95,london,1-3,N2V,0.04,0.67,-3.81,True,3.14
0.95,london,1-3,N2V,0.08,0.63,-3.86,True,3.23
0.95,london,1-3,N2V,-0.02,0.40,-3.95,True,3.55
